#{"t_start": 1671014251.9923966, "env_id": "CartPole-v0"}
r,l,t
200.0,200,270.593439
200.0,200,270.851364
200.0,200,271.100804
200.0,200,273.929045
200.0,200,274.178259
200.0,200,274.474175
200.0,200,274.742815
200.0,200,275.035911
200.0,200,275.343409
200.0,200,275.637632
200.0,200,275.944414
200.0,200,276.194931
200.0,200,276.50893
200.0,200,279.541314
200.0,200,279.813497
200.0,200,280.094506
200.0,200,280.351873
200.0,200,280.606969
200.0,200,280.872647
200.0,200,281.130839
200.0,200,281.381271
200.0,200,281.632317
200.0,200,281.87326
200.0,200,284.643398
200.0,200,285.043301
200.0,200,285.313112
200.0,200,285.676242
200.0,200,285.940352
200.0,200,286.076036
200.0,200,286.202675
200.0,200,286.35101
200.0,200,286.478671
200.0,200,286.614295
200.0,200,286.742446
